away,home,start_dt,away_score,home_score,over_under,game_id,year,minute,total,over_hit,under_hit,push,city,humidity_0,humidity_1,humidity_2,humidity_3,humidity_4,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,weather_0,weather_1,weather_2,weather_3,weather_4,wind_dir_0,wind_dir_1,wind_dir_2,wind_dir_3,wind_dir_4,wind_spd_0,wind_spd_1,wind_spd_2,wind_spd_3,wind_spd_4
Cincinnati Reds,Chicago Cubs,2013-03-27T01:05:00Z,11,1,10,18,2013,5,12,TRUE,FALSE,FALSE,Chicago,71,64,64,73,70,273.87,273.8,273.95,273.9,273.82,broken clouds,heavy snow,heavy snow,overcast clouds,overcast clouds,350,330,310,355,360,5,6,5,3,2
Baltimore Orioles,Boston Red Sox,2013-04-08T17:05:00Z,1,3,9,101,2013,5,4,FALSE,TRUE,FALSE,Boston,36,42,49,46,50,284.19,284.63,285.07,284.86,284.71,broken clouds,broken clouds,broken clouds,broken clouds,few clouds,209,199,190,149,210,5,9,13,5,7
Milwaukee Brewers,Chicago Cubs,2013-04-08T17:20:00Z,7,4,9.5,102,2013,20,11,TRUE,FALSE,FALSE,Chicago,54,49,44,60,57,285.72,286.305,286.89,286.31,283.37,few clouds,scattered clouds,scattered clouds,scattered clouds,overcast clouds,290,265,240,81,80,4,3,3,2,6
Milwaukee Brewers,Chicago Cubs,2013-04-09T23:05:00Z,3,6,7.5,114,2013,5,9,TRUE,FALSE,FALSE,Chicago,62,68,80,75,81,290.95,289.9,283.78,280.43,279.68,sky is clear,broken clouds,broken clouds,overcast clouds,few clouds,8,65,360,70,100,1,0,2,4,4
Baltimore Orioles,Boston Red Sox,2013-04-10T22:10:00Z,8,5,9,128,2013,10,13,TRUE,FALSE,FALSE,Boston,69,82,62,81,80,291.31,289.61,286.29,284.33,282.63,sky is clear,sky is clear,sky is clear,overcast clouds,overcast clouds,200,200,20,304,103,7,4,3,0,2
Baltimore Orioles,Boston Red Sox,2013-04-11T22:10:00Z,3,2,9,134,2013,10,5,FALSE,TRUE,FALSE,Boston,58,62,71,91,87,286.24,284.92,283.29,282.94,282.51,overcast clouds,light rain,mist,overcast clouds,broken clouds,30,110,110,97,160,3,3,2,0,1
Tampa Bay Rays,Boston Red Sox,2013-04-13T16:05:00Z,1,2,8,146,2013,5,3,FALSE,TRUE,FALSE,Boston,NA,NA,93,86,93,276.89,276.49,276.06,276.06,276.15,mist,mist,mist,mist,mist,110,90,80,100,90,4,3,3,5,6
Tampa Bay Rays,Boston Red Sox,2013-04-14T16:35:00Z,0,5,8.5,153,2013,35,5,FALSE,TRUE,FALSE,Boston,65,53,61,47,54,281.63,283.13,283.66,283.47,282.83,overcast clouds,sky is clear,few clouds,sky is clear,sky is clear,300,268,276,60,110,5,1,2,3,5
Tampa Bay Rays,Boston Red Sox,2013-04-15T14:05:00Z,2,3,8.5,160,2013,5,5,FALSE,TRUE,FALSE,Boston,56,49,53,46,35,282.65,282.2,282.75,283.33,283.73,sky is clear,scattered clouds,scattered clouds,scattered clouds,broken clouds,294,237,225,248,230,1,6,6,2,2
Kansas City Royals,Boston Red Sox,2013-04-20T16:10:00Z,3,4,8,194,2013,10,7,FALSE,TRUE,FALSE,Boston,88,74,78,73,78,294.85,295.39,295.85,295.79,294.78,overcast clouds,overcast clouds,overcast clouds,overcast clouds,overcast clouds,210,210,210,210,200,9,13,14,13,11
Kansas City Royals,Boston Red Sox,2013-04-21T16:35:00Z,4,2,8,207,2013,35,6,FALSE,TRUE,FALSE,Boston,71,54,54,47,54,285.84,286.72,286.78,286.85,286.72,broken clouds,sky is clear,sky is clear,scattered clouds,sky is clear,10,20,20,40,50,7,5,5,5,4
Kansas City Royals,Boston Red Sox,2013-04-21T22:10:00Z,5,4,8,216,2013,10,9,TRUE,FALSE,FALSE,Boston,58,62,66,66,66,286.5,285.89,284.6,283.49,282.61,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,30,40,60,50,60,4,2,3,3,2
