away,home,start_dt,away_score,home_score,over_under
Cuba,Brazil,2013-03-02 22:30:00-05:00,5,2,10.0
New York Mets,Houston Astros,2013-03-02 03:10:00-05:00,0,0,20.0
Japan,Brazil,2013-03-02 05:05:00-05:00,5,3,10.0
Japan,Cuba,2013-03-06 05:00:00-05:00,3,6,7.5
Italy,Mexico,2013-03-07 15:00:00-05:00,6,5,7.5
Venezuela,Dominican Republic,2013-03-07 18:30:00-05:00,3,9,9.5
Netherlands,Cuba,2013-03-07 22:00:00-05:00,6,2,8.0
Puerto Rico,USA,2013-03-15 18:00:00-04:00,4,3,8.25
Pittsburgh Pirates,Toronto Blue Jays,2013-03-26 12:05:00-04:00,3,6,10.0
Baltimore Orioles,Minnesota Twins,2013-03-26 12:05:00-04:00,5,9,9.5
Chicago White Sox,Texas Rangers,2013-03-26 15:05:00-04:00,11,3,10.0
Oakland Athletics,Cleveland Indians,2013-03-26 15:05:00-04:00,7,6,10.0
Cincinnati Reds,Chicago Cubs,2013-03-26 21:05:00-04:00,11,1,10.0
Los Angeles Angels,Arizona Diamondbacks,2013-03-26 21:10:00-04:00,1,7,10.0
Atlanta Braves,Detroit Tigers,2013-03-26 12:05:00-04:00,6,5,9.5
Tampa Bay Rays,Philadelphia Phillies,2013-03-26 12:05:00-04:00,1,10,9.5
San Diego Padres,San Francisco Giants,2013-03-26 15:05:00-04:00,2,4,10.0
Kansas City Royals,Seattle Mariners,2013-03-26 15:05:00-04:00,11,6,10.0
Houston Astros,New York Yankees,2013-03-26 18:05:00-04:00,4,4,9.5
Colorado Rockies,Los Angeles Dodgers,2013-03-26 21:05:00-04:00,7,6,10.0
San Diego Padres,New York Mets,2013-04-01 12:10:00-04:00,2,11,7.5
Colorado Rockies,Milwaukee Brewers,2013-04-01 13:10:00-04:00,4,5,8.0
Philadelphia Phillies,Atlanta Braves,2013-04-01 18:10:00-04:00,5,7,7.0
Kansas City Royals,Chicago White Sox,2013-04-01 15:10:00-04:00,0,1,7.0
Seattle Mariners,Oakland Athletics,2013-04-01 21:05:00-04:00,2,0,6.5
Los Angeles Angels,Cincinnati Reds,2013-04-01 15:10:00-04:00,3,1,7.5
Miami Marlins,Washington Nationals,2013-04-01 12:05:00-04:00,0,2,7.0
Chicago Cubs,Pittsburgh Pirates,2013-04-01 12:35:00-04:00,3,1,7.0
San Francisco Giants,Los Angeles Dodgers,2013-04-01 15:10:00-04:00,0,4,6.0
St. Louis Cardinals,Arizona Diamondbacks,2013-04-01 21:10:00-04:00,2,6,8.5
Boston Red Sox,New York Yankees,2013-04-01 12:05:00-04:00,8,2,8.0
St. Louis Cardinals,Arizona Diamondbacks,2013-04-02 20:40:00-04:00,6,1,9.0
Cleveland Indians,Toronto Blue Jays,2013-04-02 18:05:00-04:00,4,1,8.5
Seattle Mariners,Oakland Athletics,2013-04-02 21:05:00-04:00,7,1,7.0
Colorado Rockies,Milwaukee Brewers,2013-04-02 19:10:00-04:00,8,4,8.5
San Francisco Giants,Los Angeles Dodgers,2013-04-02 21:10:00-04:00,3,0,7.0
Baltimore Orioles,Tampa Bay Rays,2013-04-02 14:10:00-04:00,7,4,7.0
Chicago Cubs,Pittsburgh Pirates,2013-04-03 18:05:00-04:00,0,3,6.5
Philadelphia Phillies,Atlanta Braves,2013-04-03 18:10:00-04:00,2,9,7.0
St. Louis Cardinals,Arizona Diamondbacks,2013-04-03 20:40:00-04:00,9,10,9.0
Cleveland Indians,Toronto Blue Jays,2013-04-03 18:05:00-04:00,3,2,9.0
Baltimore Orioles,Tampa Bay Rays,2013-04-03 18:10:00-04:00,7,8,7.0
Miami Marlins,Washington Nationals,2013-04-03 18:05:00-04:00,0,3,7.0
San Diego Padres,New York Mets,2013-04-03 18:10:00-04:00,4,8,7.0
Colorado Rockies,Milwaukee Brewers,2013-04-03 19:10:00-04:00,7,3,8.5
San Francisco Giants,Los Angeles Dodgers,2013-04-03 21:10:00-04:00,5,3,7.0
Kansas City Royals,Chicago White Sox,2013-04-03 13:10:00-04:00,2,5,7.5
Boston Red Sox,New York Yankees,2013-04-03 18:05:00-04:00,7,4,7.5
Seattle Mariners,Oakland Athletics,2013-04-03 21:05:00-04:00,2,6,7.5
Los Angeles Angels,Cincinnati Reds,2013-04-03 18:10:00-04:00,4,5,7.5
San Diego Padres,New York Mets,2013-04-04 12:10:00-04:00,2,1,7.5
Philadelphia Phillies,Atlanta Braves,2013-04-04 18:10:00-04:00,2,0,6.5
Baltimore Orioles,Tampa Bay Rays,2013-04-04 14:10:00-04:00,6,3,8.0
Boston Red Sox,New York Yankees,2013-04-04 18:05:00-04:00,2,4,8.0
Chicago Cubs,Pittsburgh Pirates,2013-04-04 11:35:00-04:00,3,2,7.0
Miami Marlins,Washington Nationals,2013-04-04 15:05:00-04:00,1,6,7.0
Kansas City Royals,Chicago White Sox,2013-04-04 13:10:00-04:00,3,1,8.0
Seattle Mariners,Oakland Athletics,2013-04-04 14:35:00-04:00,2,8,7.5
Cleveland Indians,Toronto Blue Jays,2013-04-04 18:05:00-04:00,8,10,9.0
St. Louis Cardinals,San Francisco Giants,2013-04-05 15:35:00-04:00,0,1,7.5
Washington Nationals,Cincinnati Reds,2013-04-05 18:10:00-04:00,0,15,8.0
Arizona Diamondbacks,Milwaukee Brewers,2013-04-05 19:10:00-04:00,3,1,8.5
Los Angeles Angels,Texas Rangers,2013-04-05 13:05:00-04:00,2,3,9.5
Boston Red Sox,Toronto Blue Jays,2013-04-05 18:05:00-04:00,6,4,8.5
San Diego Padres,Colorado Rockies,2013-04-05 15:10:00-04:00,2,5,11.0
Miami Marlins,New York Mets,2013-04-05 18:10:00-04:00,7,5,7.5
Chicago Cubs,Atlanta Braves,2013-04-05 18:30:00-04:00,1,4,7.5
Pittsburgh Pirates,Los Angeles Dodgers,2013-04-05 21:10:00-04:00,0,3,7.0
New York Yankees,Detroit Tigers,2013-04-05 12:05:00-04:00,3,8,8.0
Minnesota Twins,Baltimore Orioles,2013-04-05 14:05:00-04:00,5,9,9.0
Cleveland Indians,Tampa Bay Rays,2013-04-05 18:10:00-04:00,0,4,7.5
Seattle Mariners,Chicago White Sox,2013-04-05 19:10:00-04:00,8,7,8.25
Kansas City Royals,Philadelphia Phillies,2013-04-05 15:05:00-04:00,13,4,8.0
Miami Marlins,New York Mets,2013-04-06 12:10:00-04:00,3,7,7.0
Chicago Cubs,Atlanta Braves,2013-04-06 18:10:00-04:00,5,6,7.5
San Diego Padres,Colorado Rockies,2013-04-06 19:10:00-04:00,3,6,11.0
Los Angeles Angels,Texas Rangers,2013-04-06 15:05:00-04:00,8,4,10.0
Cleveland Indians,Tampa Bay Rays,2013-04-06 18:10:00-04:00,0,6,8.0
Washington Nationals,Cincinnati Reds,2013-04-06 12:10:00-04:00,7,6,8.5
St. Louis Cardinals,San Francisco Giants,2013-04-06 15:05:00-04:00,6,3,7.0
Arizona Diamondbacks,Milwaukee Brewers,2013-04-06 18:10:00-04:00,9,2,8.5
Pittsburgh Pirates,Los Angeles Dodgers,2013-04-06 20:10:00-04:00,0,1,6.0
Boston Red Sox,Toronto Blue Jays,2013-04-06 12:05:00-04:00,0,5,9.0
New York Yankees,Detroit Tigers,2013-04-06 15:05:00-04:00,4,8,8.0
Minnesota Twins,Baltimore Orioles,2013-04-06 18:05:00-04:00,6,5,8.75
Kansas City Royals,Philadelphia Phillies,2013-04-06 18:05:00-04:00,3,4,8.0
Washington Nationals,Cincinnati Reds,2013-04-07 12:10:00-04:00,3,6,7.0
Arizona Diamondbacks,Milwaukee Brewers,2013-04-07 13:10:00-04:00,8,7,7.5
Pittsburgh Pirates,Los Angeles Dodgers,2013-04-07 15:10:00-04:00,2,6,7.5
Boston Red Sox,Toronto Blue Jays,2013-04-07 12:05:00-04:00,13,0,8.0
Cleveland Indians,Tampa Bay Rays,2013-04-07 12:40:00-04:00,13,0,7.0
Miami Marlins,New York Mets,2013-04-07 12:10:00-04:00,3,4,7.5
Chicago Cubs,Atlanta Braves,2013-04-07 12:35:00-04:00,1,5,7.0
St. Louis Cardinals,San Francisco Giants,2013-04-07 15:05:00-04:00,14,3,6.5
San Diego Padres,Colorado Rockies,2013-04-07 15:10:00-04:00,1,9,10.5
New York Yankees,Detroit Tigers,2013-04-07 12:05:00-04:00,7,0,7.0
Minnesota Twins,Baltimore Orioles,2013-04-07 12:35:00-04:00,4,3,9.0
Seattle Mariners,Chicago White Sox,2013-04-07 13:10:00-04:00,3,4,7.0
Los Angeles Angels,Texas Rangers,2013-04-07 19:05:00-04:00,3,7,8.5
Kansas City Royals,Philadelphia Phillies,2013-04-07 12:35:00-04:00,9,8,7.0
Cincinnati Reds,St. Louis Cardinals,2013-04-08 15:15:00-04:00,13,4,7.5
Colorado Rockies,San Francisco Giants,2013-04-08 21:15:00-04:00,2,4,7.0
Baltimore Orioles,Boston Red Sox,2013-04-08 13:05:00-04:00,1,3,9.0
Minnesota Twins,Kansas City Royals,2013-04-08 15:10:00-04:00,1,3,8.75
Houston Astros,Seattle Mariners,2013-04-08 21:10:00-04:00,0,3,7.5
Milwaukee Brewers,Chicago Cubs,2013-04-08 13:20:00-04:00,7,4,9.5
New York Mets,Philadelphia Phillies,2013-04-08 18:05:00-04:00,7,2,7.5
Pittsburgh Pirates,Arizona Diamondbacks,2013-04-08 20:40:00-04:00,5,3,8.5
New York Yankees,Cleveland Indians,2013-04-08 15:05:00-04:00,11,6,8.5
Tampa Bay Rays,Texas Rangers,2013-04-08 19:05:00-04:00,4,5,9.0
New York Mets,Philadelphia Phillies,2013-04-09 18:05:00-04:00,3,8,7.0
Milwaukee Brewers,Chicago Cubs,2013-04-09 19:05:00-04:00,3,6,7.5
Pittsburgh Pirates,Arizona Diamondbacks,2013-04-09 20:40:00-04:00,6,5,8.5
Minnesota Twins,Kansas City Royals,2013-04-09 19:10:00-04:00,4,7,8.5
Houston Astros,Seattle Mariners,2013-04-09 21:10:00-04:00,16,9,7.0
Chicago White Sox,Washington Nationals,2013-04-09 18:05:00-04:00,7,8,7.0
Cincinnati Reds,St. Louis Cardinals,2013-04-09 19:15:00-04:00,1,5,8.5
Colorado Rockies,San Francisco Giants,2013-04-09 21:15:00-04:00,6,9,7.0
Toronto Blue Jays,Detroit Tigers,2013-04-09 12:05:00-04:00,3,7,8.0
Tampa Bay Rays,Texas Rangers,2013-04-09 19:05:00-04:00,1,6,10.5
Oakland Athletics,Los Angeles Angels,2013-04-09 21:05:00-04:00,9,5,7.5
Pittsburgh Pirates,Arizona Diamondbacks,2013-04-10 14:40:00-04:00,2,10,9.0
New York Mets,Philadelphia Phillies,2013-04-10 18:05:00-04:00,3,7,8.75
Tampa Bay Rays,Texas Rangers,2013-04-10 13:05:00-04:00,2,0,8.5
Baltimore Orioles,Boston Red Sox,2013-04-10 18:10:00-04:00,8,5,9.0
Oakland Athletics,Los Angeles Angels,2013-04-10 21:05:00-04:00,11,5,8.5
Colorado Rockies,San Francisco Giants,2013-04-10 14:45:00-04:00,0,10,7.5
Toronto Blue Jays,Detroit Tigers,2013-04-10 12:05:00-04:00,8,6,9.0
Minnesota Twins,Kansas City Royals,2013-04-10 19:10:00-04:00,0,3,8.5
Houston Astros,Seattle Mariners,2013-04-10 21:10:00-04:00,8,3,7.5
Chicago White Sox,Washington Nationals,2013-04-10 18:05:00-04:00,2,5,8.0
Toronto Blue Jays,Detroit Tigers,2013-04-11 12:05:00-04:00,1,11,8.0
Baltimore Orioles,Boston Red Sox,2013-04-11 18:10:00-04:00,3,2,9.0
Texas Rangers,Seattle Mariners,2013-04-11 21:10:00-04:00,4,3,7.0
Chicago White Sox,Washington Nationals,2013-04-11 18:05:00-04:00,4,7,8.0
Oakland Athletics,Los Angeles Angels,2013-04-11 21:05:00-04:00,8,1,8.0
Cincinnati Reds,Pittsburgh Pirates,2013-04-12 18:05:00-04:00,5,6,7.5
Baltimore Orioles,New York Yankees,2013-04-12 18:05:00-04:00,2,5,8.0
Houston Astros,Los Angeles Angels,2013-04-12 21:05:00-04:00,5,0,8.0
Atlanta Braves,Washington Nationals,2013-04-12 18:05:00-04:00,6,4,8.5
Milwaukee Brewers,St. Louis Cardinals,2013-04-12 19:15:00-04:00,0,2,7.5
Colorado Rockies,San Diego Padres,2013-04-12 21:10:00-04:00,7,5,7.5
Chicago White Sox,Cleveland Indians,2013-04-12 18:05:00-04:00,0,1,7.5
New York Mets,Minnesota Twins,2013-04-12 19:10:00-04:00,16,5,7.5
Atlanta Braves,Washington Nationals,2013-04-13 12:05:00-04:00,3,1,7.0
Los Angeles Dodgers,Arizona Diamondbacks,2013-04-13 19:10:00-04:00,7,5,8.5
Baltimore Orioles,New York Yankees,2013-04-13 15:05:00-04:00,5,3,9.0
Houston Astros,Los Angeles Angels,2013-04-13 20:05:00-04:00,4,5,8.5
Milwaukee Brewers,St. Louis Cardinals,2013-04-13 15:15:00-04:00,0,8,7.5
Tampa Bay Rays,Boston Red Sox,2013-04-13 12:05:00-04:00,1,2,8.0
Toronto Blue Jays,Kansas City Royals,2013-04-13 18:10:00-04:00,3,2,7.5
Atlanta Braves,Washington Nationals,2013-04-14 12:35:00-04:00,9,0,7.0
Milwaukee Brewers,St. Louis Cardinals,2013-04-14 13:15:00-04:00,4,3,8.0
Colorado Rockies,San Diego Padres,2013-04-14 15:10:00-04:00,2,1,8.0
Tampa Bay Rays,Boston Red Sox,2013-04-14 12:35:00-04:00,0,5,8.5
Houston Astros,Los Angeles Angels,2013-04-14 14:35:00-04:00,1,4,8.0
Los Angeles Dodgers,Arizona Diamondbacks,2013-04-14 15:10:00-04:00,0,1,9.0
